,zip,rate
0,84056,43.4
1,84315,42.99
2,84015,42.99
3,84075,88.42
4,84040,61.59
5,84041,61.59
6,84405,61.59
7,84037,56.29
8,84025,69.92
9,84014,114.0
10,84010,75.11
11,84054,1147.47
12,84025,140.02
13,84087,100.14
14,84006,0.0
15,84084,99.0
16,84088,136.2
17,84092,84.6
18,84093,93.6
19,84094,79.3
20,84095,53.4
21,84096,124.8
22,84101,525.1
23,84102,259.7
24,84103,123.2
25,84104,442.0
26,84105,178.0
27,84106,344.0
28,84107,232.5
29,84108,80.2
30,84109,184.1
31,84118,263.6
32,84111,288.4
33,84112,50.3
34,84115,326.4
35,84116,402.4
36,84117,134.7
37,84119,508.3
38,84120,355.1
39,84121,117.8
40,84123,188.0
41,84124,103.1
42,84128,327.7
43,84129,182.0
44,84017,856.566615256851
45,84024,856.566615256851
46,84033,856.566615256851
47,84036,856.566615256851
48,84055,856.566615256851
49,84060,856.566615256851
50,84061,856.566615256851
51,84068,856.566615256851
52,84018,74.2329264269218
53,84050,74.2329264269218
54,84067,57.2607825127876
55,84201,57.2607825127876
56,84244,57.2607825127876
57,84310,57.2607825127876
58,84315,57.2607825127876
59,84317,57.2607825127876
60,84401,57.2607825127876
61,84402,57.2607825127876
62,84403,57.2607825127876
63,84404,57.2607825127876
64,84405,57.2607825127876
65,84407,57.2607825127876
66,84408,57.2607825127876
67,84409,57.2607825127876
68,84412,57.2607825127876
69,84414,57.2607825127876
